"","x"
"1",0
"2",2.33140569457093
"3",2.38212908896049
"4",2.46036561399671
"5",3.14240354927113
"6",4.1111867464713
"7",3.2304417173653
"8",2.60874239277113
"9",3.75522946166787
"10",5.36358383460208
"11",5.93732918567157
"12",5.1805129340134
"13",5.59334566558003
"14",5.83882863378113
"15",6.74554486628124
"16",7.18600163277575
"17",6.71571285929874
"18",7.40871164951843
"19",7.65742058362254
"20",8.21715526402769
"21",7.02854408170445
"22",6.83555257997455
"23",7.09843325317082
"24",7.477499701635
"25",8.18030480724632
"26",9.56016979838521
"27",9.19592639306508
"28",8.58917202081711
"29",8.80828776990946
"30",8.55487617626387
"31",9.03797147837389
"32",8.70544624023513
"33",8.12543378841526
"34",8.1883544005473
"35",9.80457237928751
"36",10.128704532538
"37",11.8009302210406
"38",13.8032500353885
"39",16.7876443248236
"40",18.1781812737822
"41",19.0901384786819
"42",19.0930273879397
"43",19.538752724696
"44",19.9443047889386
"45",19.5425899371503
"46",18.6031372108497
"47",18.5591918154458
"48",19.0905205854036
"49",19.0783187531988
"50",19.4803860973152
"51",18.5821391187335
"52",19.2820868902214
"53",19.0099511116411
"54",18.5613402548022
"55",18.0291955749826
"56",19.0078009431163
"57",19.2976510181817
"58",19.8233274548249
"59",20.6452574312596
"60",20.8643492214913
"61",19.9349267592494
"62",19.6610389873354
"63",19.0579669581772
"64",20.0170707948415
"65",18.2032763724839
"66",17.6811432498295
"67",16.6816748976649
"68",17.2429258484496
"69",16.7646915008774
"70",15.9349349137176
"71",13.3699088582474
"72",11.8880698499686
"73",11.7955995791039
"74",8.04602779757356
"75",6.84785077700244
"76",5.88192318019024
"77",4.84184442175559
"78",6.19100627436117
"79",6.19739129931522
"80",5.94573563964327
"81",5.34791436517517
"82",4.85612538923116
"83",3.62869581503101
"84",3.82890985429829
"85",4.03391482767186
"86",4.84437770883168
"87",5.43346611409062
"88",4.95384750004698
"89",4.76190672810064
"90",3.15374900094078
"91",3.25090077495308
"92",2.91061360125025
"93",3.57217313921627
"94",3.27906224089348
"95",3.62675224716148
"96",4.91151658458343
"97",5.26448881467531
"98",6.54423843399958
"99",8.36584885564359
"100",9.51738610539681
"101",10.6096776871037
"102",10.4428026519658
"103",11.1315501243869
"104",11.0795428095806
"105",11.9699929810612
"106",10.694859101899
"107",9.86637972129171
"108",8.95076439167957
"109",9.79210995611446
"110",9.2122915660753
"111",10.5058588923197
"112",11.1828693698737
"113",12.4122996531059
"114",11.5718020086572
"115",10.8739782688577
"116",8.40550164364151
"117",7.25722512190066
"118",3.32926894870518
"119",2.22117864602642
"120",0.201314185758033
"121",0.378458785638651
"122",-0.740594499855131
"123",-2.4907343316614
"124",-3.12580060618422
"125",-5.86936600165798
"126",-7.79405858412424
"127",-7.91256540701391
"128",-7.63757888753025
"129",-7.40791219628585
"130",-7.40083573958869
"131",-4.94837779455657
"132",-5.58330793788594
"133",-4.64776858577877
"134",-4.41145075979226
"135",-3.91596439088224
"136",-5.20914642819062
"137",-6.68917686098785
"138",-7.63335875345336
"139",-8.60605092032622
"140",-8.15204291143516
"141",-8.14887341774721
"142",-8.54598616695912
"143",-10.066472023538
"144",-10.9416212839443
"145",-10.4366704591268
"146",-10.5707966011122
"147",-10.5263113910008
"148",-7.89120665651812
"149",-7.14613748168342
"150",-6.92256320884821
"151",-6.88681484373717
"152",-7.85714139690405
"153",-7.31454502793735
"154",-8.73393461014788
"155",-8.46192886840367
"156",-6.07142217282103
"157",-3.63876724763308
"158",-0.642158443402578
"159",0.608394774566571
"160",1.08703196662058
"161",0.640761828472085
"162",-0.955586289825718
"163",0.31506723474201
"164",1.24183321717357
"165",1.51654323388251
"166",3.00904428726971
"167",2.92546070613118
"168",3.88592525554051
"169",3.29045683726577
"170",5.45133037900584
"171",7.58520293421767
"172",9.22005120436653
"173",9.41467576718297
"174",10.3089690280505
"175",8.75335400041504
"176",9.79745224143149
"177",8.22227875482589
"178",9.21894574377451
"179",7.99780599984017
"180",6.7965155310061
"181",6.21875129905713
"182",6.19569311996778
"183",4.68199237823907
"184",5.10025225789813
"185",5.79130464989993
"186",4.28144806594938
"187",3.17984802853883
"188",1.19718989352117
"189",0.831418748134207
"190",-1.34962343091897
"191",-1.8320513251622
"192",-3.25685509867715
"193",-0.702621736841309
"194",0.452806302723197
"195",1.09118545938697
"196",2.13704648314675
"197",3.01422788614791
"198",2.93331273628411
"199",3.49202121801054
"200",3.96869383483244
"201",4.39614003787101
"202",4.91274643160756
"203",5.88571405884011
"204",5.86411429840817
"205",5.1221555677024
"206",4.71858452610847
"207",4.4991711868934
"208",5.21051818055118
"209",3.03628188980175
"210",2.68679053885705
"211",0.981010380217039
"212",-1.05047649395185
"213",-2.69108238786506
"214",-1.49634377572001
"215",-1.69549014110929
"216",-0.721824165593794
"217",0.524339474885251
"218",-0.551305952822628
"219",-1.22577026726327
"220",-0.0521451406540607
"221",1.17176560573967
"222",2.44455876103834
"223",3.68495575826035
"224",4.06671860296152
"225",5.35815175288371
"226",5.92151814010863
"227",6.65355625722102
"228",7.29733393896749
"229",7.10135478023739
"230",6.52556160304635
"231",6.2455967310588
"232",4.47301129231464
"233",3.72890069058638
"234",3.40897496885501
"235",3.71633084600892
"236",3.00852320519891
"237",1.52171133405277
"238",2.05754135555196
"239",3.98052610078708
"240",6.53515678573354
"241",8.38564512261498
"242",9.06953352190358
"243",8.97316112202751
"244",8.43297083935642
"245",8.36683648702356
"246",9.69182317060591
"247",10.9024830609208
"248",12.6400488640223
"249",12.8716653063808
"250",11.7063289375765
"251",12.0610859691608
"252",13.0107593586184
"253",13.5254423580879
"254",15.26321401491
"255",15.2553834592123
"256",15.6279644500414
"257",17.0966269799243
"258",19.5614032204422
"259",20.2563886101492
"260",20.3062272498201
"261",20.267076694837
"262",20.1775664976811
"263",20.4942765796971
"264",20.5559114269944
"265",20.0522392939918
"266",18.9570410456744
"267",18.4578798971274
"268",18.1441479474244
"269",18.9468243312074
"270",18.396855139076
"271",17.1761261417389
"272",17.1648158138559
"273",17.3142770264292
"274",18.332996320624
"275",19.3334345168282
"276",18.7313391189142
"277",18.531549029213
"278",19.2597933445723
"279",19.8098573676986
"280",20.1296652674103
"281",21.3221209249805
"282",21.6661508409501
"283",23.8819619316906
"284",25.5895245737611
"285",27.538658321773
"286",28.2434929384553
"287",27.422269481379
"288",26.6279243748179
"289",29.3404505705941
"290",31.4737836052461
"291",31.4003333359527
"292",30.7937790603535
"293",30.8256774227802
"294",30.7945311886481
"295",31.9449283841628
"296",32.803662982671
"297",33.7835474849243
"298",32.1621762268848
"299",32.5984622982501
"300",33.227925571494
"301",35.099369104771
"302",35.0429839776125
"303",34.1278086289057
"304",33.9781811731696
"305",32.2875846441997
"306",31.6593596486928
"307",31.69910143859
"308",30.8402397944575
"309",32.5388026262119
"310",34.95755924024
"311",35.835022983143
"312",37.240835111694
"313",36.5052285345064
"314",35.8858623581258
"315",35.3770745457844
